model,lang,problem_id,total_attempts,compilation_successes,runtime_successes,correct_solutions
anthropic/claude-3.5-sonnet,python,3,1,1,1,1
anthropic/claude-3.5-sonnet,python,4,1,1,1,1
anthropic/claude-3.5-sonnet,python,28,2,2,2,0
deepseek/deepseek-chat,python,3,1,1,1,1
deepseek/deepseek-chat,python,4,1,1,1,1
gemini-exp-1206,python,28,1,1,1,0
gemini-2.0-flash-thinking-exp-01-21,python,28,1,1,1,0
openai/o1-mini-2024-09-12,python,28,2,2,2,0
gemini-2.0-flash-exp,python,28,1,1,1,0
openai/o1,python,28,2,2,2,0
deepseek/deepseek-r1,python,28,1,1,1,0
anthropic/claude-3.5-sonnet,ocaml,3,1,1,1,1
deepseek/deepseek-chat,ocaml,3,1,0,0,0
anthropic/claude-3.5-sonnet,julia,4,1,1,1,1
anthropic/claude-3.5-sonnet,julia,3,1,1,1,0
anthropic/claude-3.5-sonnet,julia,19,3,2,2,0
anthropic/claude-3.5-sonnet,julia,20,3,2,2,0
anthropic/claude-3.5-sonnet,julia,21,3,2,2,0
anthropic/claude-3.5-sonnet,julia,11,3,2,2,0
anthropic/claude-3.5-sonnet,julia,17,1,1,1,0
anthropic/claude-3.5-sonnet,julia,27,1,1,1,0
anthropic/claude-3.5-sonnet,julia,28,2,2,2,0
deepseek/deepseek-chat,julia,3,1,1,1,1
openai/o1-mini-2024-09-12,julia,20,3,3,3,0
openai/o1-mini-2024-09-12,julia,11,3,2,2,0
openai/o1-mini-2024-09-12,julia,21,3,2,2,0
openai/o1-mini-2024-09-12,julia,19,3,2,2,1
openai/o1-mini-2024-09-12,julia,16,1,1,1,0
openai/o1-mini-2024-09-12,julia,17,1,1,1,1
openai/o1-mini-2024-09-12,julia,27,1,1,1,0
openai/o1-mini-2024-09-12,julia,28,2,2,2,0
openai/o1-preview,julia,21,3,3,3,0
openai/o1-preview,julia,11,3,3,3,0
openai/o1-preview,julia,19,3,3,3,1
openai/o1-preview,julia,20,3,2,2,0
openai/o1,julia,20,3,2,2,0
openai/o1,julia,19,3,3,3,1
openai/o1,julia,21,2,1,1,0
openai/o1,julia,11,3,2,2,0
openai/o1,julia,16,1,1,1,0
openai/o1,julia,17,1,1,1,0
openai/o1,julia,27,1,1,1,1
openai/o1,julia,28,2,2,2,0
deepseek/deepseek-r1,julia,11,3,3,3,0
deepseek/deepseek-r1,julia,19,2,2,2,2
deepseek/deepseek-r1,julia,20,2,2,2,2
deepseek/deepseek-r1,julia,21,2,2,2,0
deepseek/deepseek-r1,julia,16,1,1,1,0
deepseek/deepseek-r1,julia,17,1,1,1,1
deepseek/deepseek-r1,julia,27,1,1,1,0
deepseek/deepseek-r1,julia,28,1,1,1,0
deepseek/deepseek-r1-distill-llama-70b,julia,19,1,1,1,0
anthropic/claude-3-5-haiku,julia,19,2,1,1,0
anthropic/claude-3-5-haiku,julia,20,2,2,2,0
anthropic/claude-3-5-haiku,julia,11,2,2,2,0
anthropic/claude-3-5-haiku,julia,21,2,1,1,0
deepseek/deepseek-r1-distill-qwen-32b,julia,11,1,1,1,0
deepseek/deepseek-r1-distill-qwen-32b,julia,19,1,1,1,0
deepseek/deepseek-r1-distill-qwen-32b,julia,21,1,1,1,0
gemini-2.0-flash-exp,julia,27,1,1,1,1
gemini-2.0-flash-exp,julia,28,1,1,1,0
gemini-2.0-flash-thinking-exp-01-21,julia,27,1,1,1,1
gemini-2.0-flash-thinking-exp-01-21,julia,28,1,1,1,0
gemini-exp-1206,julia,27,1,1,1,1
gemini-exp-1206,julia,28,1,1,1,0
anthropic/claude-3.5-sonnet,haskell,3,1,1,1,1
anthropic/claude-3.5-sonnet,haskell,16,1,1,1,0
anthropic/claude-3.5-sonnet,haskell,11,1,0,0,0
anthropic/claude-3.5-sonnet,haskell,27,1,1,1,1
anthropic/claude-3.5-sonnet,haskell,28,2,1,1,0
deepseek/deepseek-chat,haskell,3,1,0,0,0
openai/o1-mini-2024-09-12,haskell,11,1,0,0,0
openai/o1-mini-2024-09-12,haskell,27,1,0,0,0
openai/o1-mini-2024-09-12,haskell,28,2,0,0,0
openai/o1,haskell,17,1,0,0,0
openai/o1,haskell,27,1,1,1,1
openai/o1,haskell,28,2,1,1,1
deepseek/deepseek-r1,haskell,17,1,0,0,0
deepseek/deepseek-r1,haskell,28,2,0,0,0
gemini-2.0-flash-thinking-exp-01-21,haskell,27,1,0,0,0
gemini-2.0-flash-thinking-exp-01-21,haskell,28,1,0,0,0
gemini-exp-1206,haskell,27,1,0,0,0
gemini-exp-1206,haskell,28,1,0,0,0
gemini-2.0-flash-exp,haskell,28,1,0,0,0
anthropic/claude-3.5-sonnet,rust,3,1,1,1,1
anthropic/claude-3.5-sonnet,rust,21,3,2,2,2
anthropic/claude-3.5-sonnet,rust,11,3,0,0,0
anthropic/claude-3.5-sonnet,rust,20,3,0,0,0
anthropic/claude-3.5-sonnet,rust,19,2,0,0,0
anthropic/claude-3.5-sonnet,rust,16,1,1,1,1
anthropic/claude-3.5-sonnet,rust,27,1,1,1,1
anthropic/claude-3.5-sonnet,rust,28,2,1,1,0
deepseek/deepseek-chat,rust,3,1,1,1,1
openai/o1-mini-2024-09-12,rust,19,3,0,0,0
openai/o1-mini-2024-09-12,rust,11,3,0,0,0
openai/o1-mini-2024-09-12,rust,21,3,0,0,0
openai/o1-mini-2024-09-12,rust,20,3,0,0,0
openai/o1-mini-2024-09-12,rust,16,1,0,0,0
openai/o1-mini-2024-09-12,rust,17,1,0,0,0
openai/o1-mini-2024-09-12,rust,27,1,1,1,1
openai/o1-mini-2024-09-12,rust,28,2,0,0,0
openai/o1-preview,rust,20,3,2,2,2
openai/o1-preview,rust,21,3,1,1,1
openai/o1-preview,rust,11,3,1,1,0
openai/o1-preview,rust,19,2,1,1,1
openai/o1,rust,19,3,0,0,0
openai/o1,rust,21,3,2,2,2
openai/o1,rust,11,3,0,0,0
openai/o1,rust,20,2,0,0,0
openai/o1,rust,17,1,1,1,1
openai/o1,rust,16,1,1,1,1
openai/o1,rust,27,1,1,1,1
openai/o1,rust,28,2,0,0,0
deepseek/deepseek-r1,rust,11,2,2,2,2
deepseek/deepseek-r1,rust,19,2,1,1,1
deepseek/deepseek-r1,rust,21,1,1,1,1
deepseek/deepseek-r1,rust,20,1,0,0,0
deepseek/deepseek-r1,rust,17,1,1,1,0
deepseek/deepseek-r1,rust,27,1,1,1,1
deepseek/deepseek-r1,rust,28,1,1,1,0
anthropic/claude-3-5-haiku,rust,19,2,0,0,0
anthropic/claude-3-5-haiku,rust,11,2,0,0,0
anthropic/claude-3-5-haiku,rust,20,2,2,2,2
anthropic/claude-3-5-haiku,rust,21,2,0,0,0
gemini-2.0-flash-exp,rust,27,1,1,1,1
gemini-2.0-flash-exp,rust,28,1,1,1,0
gemini-2.0-flash-thinking-exp-01-21,rust,27,1,1,1,1
gemini-2.0-flash-thinking-exp-01-21,rust,28,1,1,1,0
gemini-exp-1206,rust,27,1,1,1,1
mistralai/codestral-2501,groovy,1,2,2,2,2
mistralai/codestral-2501,groovy,2,2,2,2,2
mistralai/codestral-2501,groovy,3,2,2,2,2
mistralai/codestral-2501,groovy,4,2,2,2,2
mistralai/codestral-2501,groovy,26,2,2,2,2
mistralai/codestral-2501,groovy,17,1,1,1,0
mistralai/codestral-2501,groovy,15,1,1,1,1
mistralai/codestral-2501,groovy,16,1,1,1,0
mistralai/codestral-2501,groovy,14,1,1,1,0
mistralai/codestral-2501,groovy,22,1,1,1,0
mistralai/codestral-2501,groovy,20,1,1,1,0
mistralai/codestral-2501,groovy,8,1,1,1,0
mistralai/codestral-2501,groovy,13,1,1,1,0
mistralai/codestral-2501,groovy,18,1,1,1,1
mistralai/codestral-2501,groovy,21,1,1,1,0
mistralai/codestral-2501,groovy,10,1,1,1,0
mistralai/codestral-2501,groovy,11,1,1,1,0
mistralai/codestral-2501,groovy,19,1,1,1,0
mistralai/codestral-2501,groovy,9,1,1,1,0
qwen/qwen-2.5-coder-32b-instruct,groovy,3,2,2,2,2
qwen/qwen-2.5-coder-32b-instruct,groovy,1,2,2,2,2
qwen/qwen-2.5-coder-32b-instruct,groovy,2,2,2,2,2
qwen/qwen-2.5-coder-32b-instruct,groovy,26,2,2,2,2
qwen/qwen-2.5-coder-32b-instruct,groovy,4,2,2,2,0
qwen/qwen-2.5-coder-32b-instruct,groovy,8,1,1,1,0
qwen/qwen-2.5-coder-32b-instruct,groovy,15,1,1,1,1
qwen/qwen-2.5-coder-32b-instruct,groovy,14,1,1,1,1
qwen/qwen-2.5-coder-32b-instruct,groovy,22,1,1,1,0
qwen/qwen-2.5-coder-32b-instruct,groovy,13,1,1,1,1
qwen/qwen-2.5-coder-32b-instruct,groovy,10,1,1,1,0
qwen/qwen-2.5-coder-32b-instruct,groovy,16,1,1,1,0
qwen/qwen-2.5-coder-32b-instruct,groovy,19,1,1,1,0
qwen/qwen-2.5-coder-32b-instruct,groovy,17,1,1,1,0
qwen/qwen-2.5-coder-32b-instruct,groovy,20,1,1,1,0
qwen/qwen-2.5-coder-32b-instruct,groovy,11,1,1,1,0
qwen/qwen-2.5-coder-32b-instruct,groovy,9,1,1,1,1
qwen/qwen-2.5-coder-32b-instruct,groovy,18,1,1,1,0
qwen/qwen-2.5-coder-32b-instruct,groovy,21,1,1,1,0
anthropic/claude-3.5-sonnet,groovy,1,2,2,2,2
anthropic/claude-3.5-sonnet,groovy,2,2,2,2,2
anthropic/claude-3.5-sonnet,groovy,26,2,2,2,2
anthropic/claude-3.5-sonnet,groovy,3,2,2,2,2
anthropic/claude-3.5-sonnet,groovy,4,2,2,2,2
anthropic/claude-3.5-sonnet,groovy,10,1,1,1,1
anthropic/claude-3.5-sonnet,groovy,17,2,2,2,1
anthropic/claude-3.5-sonnet,groovy,8,1,1,1,1
anthropic/claude-3.5-sonnet,groovy,9,1,1,1,1
anthropic/claude-3.5-sonnet,groovy,16,2,2,2,1
anthropic/claude-3.5-sonnet,groovy,15,1,1,1,1
anthropic/claude-3.5-sonnet,groovy,21,3,3,3,0
anthropic/claude-3.5-sonnet,groovy,13,1,1,1,1
anthropic/claude-3.5-sonnet,groovy,22,1,1,1,0
anthropic/claude-3.5-sonnet,groovy,18,1,1,1,1
anthropic/claude-3.5-sonnet,groovy,11,3,3,3,0
anthropic/claude-3.5-sonnet,groovy,14,1,1,1,1
anthropic/claude-3.5-sonnet,groovy,20,3,3,3,1
anthropic/claude-3.5-sonnet,groovy,19,3,3,3,2
anthropic/claude-3.5-sonnet,groovy,27,1,1,1,1
anthropic/claude-3.5-sonnet,groovy,28,2,2,2,0
deepseek/deepseek-r1-distill-llama-70b,groovy,1,2,2,2,2
deepseek/deepseek-r1-distill-llama-70b,groovy,2,2,2,2,2
deepseek/deepseek-r1-distill-llama-70b,groovy,3,2,2,2,2
deepseek/deepseek-r1-distill-llama-70b,groovy,26,2,2,2,2
deepseek/deepseek-r1-distill-llama-70b,groovy,4,2,2,2,0
deepseek/deepseek-r1-distill-llama-70b,groovy,10,1,1,1,1
deepseek/deepseek-r1-distill-llama-70b,groovy,9,1,1,1,0
deepseek/deepseek-r1-distill-llama-70b,groovy,8,1,1,1,0
deepseek/deepseek-chat,groovy,2,2,2,2,2
deepseek/deepseek-chat,groovy,1,2,2,2,2
deepseek/deepseek-chat,groovy,26,2,2,2,2
deepseek/deepseek-chat,groovy,3,2,2,2,2
deepseek/deepseek-chat,groovy,4,2,2,2,2
deepseek/deepseek-chat,groovy,18,1,0,0,0
deepseek/deepseek-chat,groovy,17,1,0,0,0
deepseek/deepseek-chat,groovy,9,1,1,1,1
deepseek/deepseek-chat,groovy,20,1,1,1,1
deepseek/deepseek-chat,groovy,22,1,1,1,0
deepseek/deepseek-chat,groovy,10,1,1,1,1
deepseek/deepseek-chat,groovy,21,1,1,1,0
deepseek/deepseek-chat,groovy,8,1,1,1,0
deepseek/deepseek-chat,groovy,15,1,1,1,1
deepseek/deepseek-chat,groovy,19,1,1,1,0
deepseek/deepseek-chat,groovy,14,1,1,1,0
deepseek/deepseek-chat,groovy,11,1,1,1,0
openai/gpt-4o-2024-11-20,groovy,1,2,2,2,2
openai/gpt-4o-2024-11-20,groovy,2,2,2,2,2
openai/gpt-4o-2024-11-20,groovy,3,2,2,2,2
openai/gpt-4o-2024-11-20,groovy,4,2,2,2,2
openai/gpt-4o-2024-11-20,groovy,26,2,2,2,2
openai/gpt-4o-2024-11-20,groovy,22,1,1,1,0
openai/gpt-4o-2024-11-20,groovy,15,1,1,1,0
openai/gpt-4o-2024-11-20,groovy,21,1,1,1,0
openai/gpt-4o-2024-11-20,groovy,9,1,1,1,0
openai/gpt-4o-2024-11-20,groovy,16,1,1,1,1
openai/gpt-4o-2024-11-20,groovy,18,1,1,1,0
openai/gpt-4o-2024-11-20,groovy,11,1,1,1,0
openai/gpt-4o-2024-11-20,groovy,13,1,1,1,0
openai/gpt-4o-2024-11-20,groovy,19,1,1,1,1
openai/gpt-4o-2024-11-20,groovy,14,1,1,1,1
openai/gpt-4o-2024-11-20,groovy,8,1,1,1,0
openai/gpt-4o-2024-11-20,groovy,20,1,1,1,0
openai/gpt-4o-2024-11-20,groovy,17,1,1,1,0
openai/o1-mini-2024-09-12,groovy,19,3,3,3,3
openai/o1-mini-2024-09-12,groovy,21,3,2,2,2
openai/o1-mini-2024-09-12,groovy,11,3,3,3,1
openai/o1-mini-2024-09-12,groovy,20,3,3,3,0
openai/o1-mini-2024-09-12,groovy,16,1,1,1,1
openai/o1-mini-2024-09-12,groovy,27,1,1,1,1
openai/o1-mini-2024-09-12,groovy,28,2,2,2,0
openai/o1-preview,groovy,20,3,3,3,2
openai/o1-preview,groovy,19,3,3,3,2
openai/o1-preview,groovy,21,3,3,3,2
openai/o1-preview,groovy,11,3,3,3,0
openai/o1,groovy,21,3,3,3,1
openai/o1,groovy,20,3,2,2,0
openai/o1,groovy,11,3,3,3,2
openai/o1,groovy,19,2,2,2,2
openai/o1,groovy,17,1,1,1,1
openai/o1,groovy,16,1,1,1,1
openai/o1,groovy,27,1,1,1,0
openai/o1,groovy,28,2,2,2,0
deepseek/deepseek-r1,groovy,11,3,3,3,1
deepseek/deepseek-r1,groovy,21,2,2,2,1
deepseek/deepseek-r1,groovy,20,1,1,1,1
deepseek/deepseek-r1,groovy,19,1,1,1,0
deepseek/deepseek-r1,groovy,16,1,1,1,1
deepseek/deepseek-r1,groovy,27,1,1,1,0
deepseek/deepseek-r1,groovy,28,2,2,2,0
anthropic/claude-3-5-haiku,groovy,20,2,2,2,2
anthropic/claude-3-5-haiku,groovy,11,2,2,2,0
anthropic/claude-3-5-haiku,groovy,21,2,2,2,0
anthropic/claude-3-5-haiku,groovy,19,2,2,2,0
deepseek/deepseek-r1-distill-qwen-32b,groovy,11,2,2,2,0
deepseek/deepseek-r1-distill-qwen-32b,groovy,19,1,1,1,0
deepseek/deepseek-r1-distill-qwen-32b,groovy,21,1,1,1,1
gemini-exp-1206,groovy,27,1,1,1,0
gemini-exp-1206,groovy,28,1,1,1,0
gemini-2.0-flash-thinking-exp-01-21,groovy,27,1,1,1,0
gemini-2.0-flash-thinking-exp-01-21,groovy,28,1,1,1,0
gemini-2.0-flash-exp,groovy,27,1,1,1,0
gemini-2.0-flash-exp,groovy,28,1,1,1,0
openai/o1-mini-2024-09-12,go,28,2,2,2,0
openai/o1,go,28,2,2,2,0
anthropic/claude-3.5-sonnet,go,28,2,2,2,0
gemini-2.0-flash-thinking-exp-01-21,go,28,1,1,1,0
gemini-2.0-flash-exp,go,28,1,1,1,0
deepseek/deepseek-r1,go,28,2,2,2,0
gemini-exp-1206,go,28,1,1,1,0
anthropic/claude-3.5-sonnet,cpp,28,2,1,1,0
openai/o1-mini-2024-09-12,cpp,28,2,2,2,0
openai/o1,cpp,28,2,2,2,0
gemini-2.0-flash-exp,cpp,28,1,1,1,0
gemini-2.0-flash-thinking-exp-01-21,cpp,28,1,0,0,0
deepseek/deepseek-r1,cpp,28,1,0,0,0
